winner,target,hand cards,used cards
AI-origin,7,3 4 4 4 4 6 7 8 8 8 8 9 9 9 9 10 K 2, 10 10 10 10 J J J J 
AI-origin,0,4 4 4 4 6 7 8 8 8 8 9 9 9 9 10 K 2, 10 10 10 10 J J J J Q Q Q 3 3 
AI-origin,0,4 4 4 4 8 8 8 8 9 9 9 9 K 2, 10 10 10 10 J J J J Q Q Q 3 3 3 6 7 8 10 
AI-origin,0,4 4 4 4 8 8 8 8 9 9 9 9 2, 10 10 10 10 J J J J Q Q Q 3 3 3 6 7 8 10 6 
AI-origin,0,4 4 4 4 8 8 8 8 9 9 9 9, 10 10 10 10 J J J J Q Q Q 3 3 3 6 7 8 10 6 K 
AI-origin,5,8 8 8 8 9 9 9 9, 10 10 10 10 J J J J Q Q Q 3 3 3 6 7 8 10 6 K 2 
AI-origin,5,9 9 9 9, 10 10 10 10 J J J J Q Q Q 3 3 3 6 7 8 10 6 K 2 4 4 4 4 
AI-origin,5,, 10 10 10 10 J J J J Q Q Q 3 3 3 6 7 8 10 6 K 2 4 4 4 4 8 8 8 8 
AI-origin,6,4 4 4 4 5 7 7 7 8 9 10 10 10 10 J J K K K K A, 
AI-origin,2,4 4 4 4 5 8 9 10 10 10 10 J J K K K K A, 3 3 3 4 4 4 
AI-origin,0,4 4 4 4 8 9 10 10 10 10 J J K K K K A, 3 3 3 4 4 4 7 7 7 
AI-origin,0,4 4 4 4 10 10 10 10 J J K K K K A, 3 3 3 4 4 4 7 7 7 5 7 8 
AI-origin,0,4 4 4 4 10 10 10 10 J J K K K K, 3 3 3 4 4 4 7 7 7 5 7 8 9 
AI-origin,1,4 4 4 4 10 10 10 10 K K K K, 3 3 3 4 4 4 7 7 7 5 7 8 9 A 
AI-origin,5,10 10 10 10 K K K K, 3 3 3 4 4 4 7 7 7 5 7 8 9 A J J 
AI-origin,5,, 3 3 3 4 4 4 7 7 7 5 7 8 9 A J J 4 4 4 4 6 6 6 6 6 J J 2 2 2 2 9 9 9 3 3 Q Q Q 5 5 10 10 10 10 
AI-origin,3,3 3 3 4 4 7 8 9 10 J K K K K K, 7 7 A A 2 2 4 6 Q 10 10 J J A A 5 5 5 5 Q Q Q Q 
AI-origin,3,3 3 3 4 4 K K K K K, 7 7 A A 2 2 4 6 Q 10 10 J J A A 5 5 5 5 Q Q Q Q 5 6 7 8 9 
AI-origin,7,K K K K K, 7 7 A A 2 2 4 6 Q 10 10 J J A A 5 5 5 5 Q Q Q Q 5 6 7 8 9 7 8 9 10 J 
AI-random,7,4 4 4 4 5 5 6 8 8 8 8 J 2 2 2, 9 9 10 10 2 2 5 6 7 8 9 10 J Q K A 
AI-random,0,4 4 4 4 8 8 8 8 J, 9 9 10 10 2 2 5 6 7 8 9 10 J Q K A 7 7 7 3 3 J J J 3 3 2 2 2 5 5 
AI-random,7,4 4 4 4 5 6 6 7 7 9 10 10 J, 4 5 6 7 8 10 J Q K A J Q K A 2 6 6 6 6 2 2 2 2 
AI-random,7,3 6 6 6 7 7 7 8 8 9 9 10 10 J J A A A A A, 5 Q A 2 
AI-random,6,3 8 8 9 9 10 10 J J A A A A A, 5 Q A 2 K K K 5 5 
AI-random,0,8 8 9 9 10 10 J J A A A A A, 5 Q A 2 K K K 5 5 6 6 6 7 7 7 
