winner,target,hand cards,used cards,winner score,loser score
AI-random,1,3 3 3 3 3 4 4 4 5 5 6 6 7 7 8 Q Q Q K K A A A 2 2, ,274,327
AI-random,1,3 3 3 3 3 4 4 4 5 5 6 6 7 7 8 Q Q Q A A A 2 2, 9 9 ,274,327
AI-random,7,3 3 3 3 3 6 6 7 7 8 Q Q Q A A A 2 2, 9 9 K K ,274,327
AI-random,5,7 7 8 A A A 2 2, 9 9 K K 4 4 4 5 5 6 6 6 3 3 Q Q Q 6 6 ,274,327
AI-random,7,8 2 2, 9 9 K K 4 4 4 5 5 6 6 6 3 3 Q Q Q 6 6 3 3 3 3 3 ,274,327
AI-random,5,4 4 5 5 6 6 6 7 8 9 10 10 10 10 J J J K A A 2 2, A A A A 8 Q ,286,322
AI-random,7,5 5 6 6 6 7 8 9 10 10 10 10 K A A 2 2, A A A A 8 Q 3 3 3 3 ,286,322
AI-random,0,5 6 6 6 7 8 9 10 10 10 10 K A A 2 2, A A A A 8 Q 3 3 3 3 J J J 4 4 ,286,322
AI-random,5,5 6 6 6 7 8 9 K A A 2 2, A A A A 8 Q 3 3 3 3 J J J 4 4 5 ,286,322
AI-random,3,6 6 K A A 2 2, A A A A 8 Q 3 3 3 3 J J J 4 4 5 10 10 10 10 ,286,322
AI-random,1,K A A 2 2, A A A A 8 Q 3 3 3 3 J J J 4 4 5 10 10 10 10 5 6 7 8 9 ,286,322
AI-random,1,K 2 2, A A A A 8 Q 3 3 3 3 J J J 4 4 5 10 10 10 10 5 6 7 8 9 6 6 ,286,322
AI-random,1,K, A A A A 8 Q 3 3 3 3 J J J 4 4 5 10 10 10 10 5 6 7 8 9 6 6 A A ,286,322
AI-random,0,, A A A A 8 Q 3 3 3 3 J J J 4 4 5 10 10 10 10 5 6 7 8 9 6 6 A A 2 2 ,286,322
AI-forest-model,3,3 3 3 4 4 6 6 10 J J J K K A A 2 2, 10 J Q K A 9 9 9 9 Q Q Q Q Q ,270,300
AI-forest-model,0,3 3 3 4 4 6 6 J J J K K A A 2 2, 10 J Q K A 9 9 9 9 Q Q Q Q Q 4 5 6 7 8 ,270,300
AI-forest-model,7,K K A A 2 2, 10 J Q K A 9 9 9 9 Q Q Q Q Q 4 5 6 7 8 10 J 7 7 8 8 10 2 2 3 3 3 4 4 J J J 6 6 ,270,300
AI-forest-model,5,5 5 5 7 7 7 8 8 8 9 9 9 10 10 10 Q Q Q Q, 3 6 8 J Q 2 ,328,274
AI-forest-model,2,7 7 7 8 8 8 9 9 9 10 10 10 Q Q Q Q, 3 6 8 J Q 2 3 3 3 3 3 ,328,274
AI-forest-model,5,7 7 7 8 8 8 9 9 9 10 10 10, 3 6 8 J Q 2 3 3 3 3 3 5 5 5 ,328,274
AI-forest-model,0,4 4 4 5 6 6 6 7 7 7 7 8 9 10 J Q K K K K A A A A 2 2, ,322,328
AI-forest-model,0,4 4 5 6 6 6 7 7 7 7 K K K K A A A A 2 2, 3 7 6 7 8 9 10 8 9 10 J Q ,322,328
AI-forest-model,1,5 7 7 7 7 K K K K A A A A, 3 7 6 7 8 9 10 8 9 10 J Q 4 K 3 3 3 5 5 6 6 6 4 4 ,322,328
AI-forest-model,5,5 K K K K A A A A, 3 7 6 7 8 9 10 8 9 10 J Q 4 K 3 3 3 5 5 6 6 6 4 4 2 2 ,322,328
AI-random,5,3 3 4 5 8 8 8 8 9 10 10 J K K K A, 4 4 6 6 J J Q Q A A 2 2 ,294,327
AI-random,1,3 3 4 5 9 J K K K A, 4 4 6 6 J J Q Q A A 2 2 7 7 7 7 7 10 10 10 10 10 2 2 2 3 3 5 6 7 8 9 8 8 8 8 ,294,327
AI-random,0,3 3 5 9 J K K K A, 4 4 6 6 J J Q Q A A 2 2 7 7 7 7 7 10 10 10 10 10 2 2 2 3 3 5 6 7 8 9 8 8 8 8 10 10 ,294,327
AI-random,0,3 3 9 J K K K A, 4 4 6 6 J J Q Q A A 2 2 7 7 7 7 7 10 10 10 10 10 2 2 2 3 3 5 6 7 8 9 8 8 8 8 10 10 4 ,294,327
AI-random,0,3 3 J K K K A, 4 4 6 6 J J Q Q A A 2 2 7 7 7 7 7 10 10 10 10 10 2 2 2 3 3 5 6 7 8 9 8 8 8 8 10 10 4 5 ,294,327
AI-random,7,J, 4 4 6 6 J J Q Q A A 2 2 7 7 7 7 7 10 10 10 10 10 2 2 2 3 3 5 6 7 8 9 8 8 8 8 10 10 4 5 9 Q A ,294,327
AI-random,0,, 4 4 6 6 J J Q Q A A 2 2 7 7 7 7 7 10 10 10 10 10 2 2 2 3 3 5 6 7 8 9 8 8 8 8 10 10 4 5 9 Q A K K K 3 3 ,294,327
AI-forest-model,6,3 6 6 8 8 8 8 9 9 J J, 4 4 4 5 5 7 7 7 4 4 J J J 6 6 2 2 2 5 5 ,302,306
AI-forest-model,0,6 6 9 9, 4 4 4 5 5 7 7 7 4 4 J J J 6 6 2 2 2 5 5 Q Q Q K K K K K K A A A 8 9 9 J J Q Q 8 8 8 8 ,302,306
AI-random,1,4 4 4 4 5 6 6 7 7 8 8 9 9 10 J J Q Q Q Q K K, K K A A 2 2 4 2 ,292,293
AI-random,3,4 4 4 4 6 7 8 9 10 J J Q Q Q Q K K, K K A A 2 2 4 2 3 3 ,292,293
AI-random,5,6 7 8 9 10 J J Q Q Q Q K K, K K A A 2 2 4 2 3 3 5 6 7 8 9 ,292,293
AI-random,3,J J K K, K K A A 2 2 4 2 3 3 5 6 7 8 9 4 4 4 4 8 8 8 8 Q Q Q Q ,292,293
