winner,winner score,loser score,target,strategy,opponent,hand,used
tree-v6,509,464,7,"[4, 2, 0, 0, 0, 2, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 5 5 5 6 8 9 9 10 10 10 Q Q Q Q Q Q K K K K K A A A, 
tree-v6,509,464,2,"[3, 2, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4 5 5 5 6 8 9 9 Q Q Q Q Q Q K K K K K A A A, 10 10 10 3 3 
tree-v6,509,464,2,"[3, 2, 1, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4 6 8 9 9 Q Q Q Q Q Q K K K K K A A A, 10 10 10 3 3 5 5 5 
tree-v6,509,464,0,"[3, 2, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",4 6 8 9 9 Q Q Q Q Q Q K K K K K, 10 10 10 3 3 5 5 5 A A A 
tree-v6,509,464,0,"[1, 1, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0]",8 9 9 Q Q Q Q Q K K K K K, 10 10 10 3 3 5 5 5 A A A 4 5 6 8 Q 
tree-v6,509,464,1,"[0, 1, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0]",9 9 K K K K K, 10 10 10 3 3 5 5 5 A A A 4 5 6 8 Q 8 9 Q Q Q Q Q 
forest-v4,485,493,2,"[2, 3, 2, 0, 0, 1, 0, 0]","[2, 0, 3, 0, 0, 1, 0, 1]",3 4 4 4 4 5 5 7 8 8 8 10 10 10 J J 2 2, 7 7 7 4 4 10 10 10 K K K 2 2 2 Q Q Q 3 6 8 Q 6 6 6 6 A A A A 
forest-v4,485,493,0,"[1, 2, 0, 0, 0, 1, 0, 1]","[3, 0, 3, 0, 0, 2, 0, 1]",3 4 4 4 4 5 5 10 10 10 J J 2 2, 7 7 7 4 4 10 10 10 K K K 2 2 2 Q Q Q 3 6 8 Q 6 6 6 6 A A A A 8 8 8 K K K K 5 7 
forest-v4,485,493,1,"[0, 2, 0, 0, 0, 1, 0, 1]","[3, 0, 3, 0, 0, 2, 0, 1]",4 4 4 4 5 5 10 10 10 J J 2 2, 7 7 7 4 4 10 10 10 K K K 2 2 2 Q Q Q 3 6 8 Q 6 6 6 6 A A A A 8 8 8 K K K K 5 7 3 
forest-v4,485,493,1,"[0, 1, 0, 0, 0, 1, 0, 1]","[3, 0, 3, 0, 0, 2, 0, 1]",4 4 4 4 5 5 10 10 10 2 2, 7 7 7 4 4 10 10 10 K K K 2 2 2 Q Q Q 3 6 8 Q 6 6 6 6 A A A A 8 8 8 K K K K 5 7 3 J J 
forest-v4,485,493,5,"[0, 0, 0, 0, 0, 1, 0, 1]","[3, 0, 3, 0, 0, 2, 0, 1]",4 4 4 4 5 5 10 10 10, 7 7 7 4 4 10 10 10 K K K 2 2 2 Q Q Q 3 6 8 Q 6 6 6 6 A A A A 8 8 8 K K K K 5 7 3 J J 2 2 
forest-v4,485,493,7,"[0, 0, 0, 0, 0, 0, 0, 1]","[3, 0, 3, 0, 0, 2, 0, 1]",5 5 10 10 10, 7 7 7 4 4 10 10 10 K K K 2 2 2 Q Q Q 3 6 8 Q 6 6 6 6 A A A A 8 8 8 K K K K 5 7 3 J J 2 2 4 4 4 4 
tree-v6,510,480,7,"[4, 0, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 4 4 4 6 6 7 7 7 8 9 9 9 10 Q Q Q A 2 2 2 2, 5 6 7 8 9 Q Q Q 3 3 K K K K 
tree-v6,510,480,7,"[2, 0, 0, 0, 0, 1, 0, 2]","[2, 0, 0, 1, 0, 0, 0, 2]",4 4 6 6 9 9 9 10 Q Q Q A 2 2 2 2, 5 6 7 8 9 Q Q Q 3 3 K K K K 7 7 7 3 3 2 2 2 4 4 3 4 5 8 
tree-v6,510,480,7,"[2, 0, 0, 0, 0, 1, 0, 1]","[2, 0, 0, 1, 0, 0, 0, 2]",6 6 10 Q Q Q A 2 2 2 2, 5 6 7 8 9 Q Q Q 3 3 K K K K 7 7 7 3 3 2 2 2 4 4 3 4 5 8 9 9 9 4 4 
tree-v6,510,480,0,"[2, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 2]",10 A, 5 6 7 8 9 Q Q Q 3 3 K K K K 7 7 7 3 3 2 2 2 4 4 3 4 5 8 9 9 9 4 4 Q Q Q 6 6 10 10 10 10 2 2 2 2 
tree-v6,495,471,3,"[3, 0, 0, 1, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]",3 3 4 5 5 6 6 6 7 7 8 9 9 10 J Q Q K K K K A A A 2 2 2, 
