winner,winner score,loser score,strategy,opponent,hand,length
tree-v4,302,308,"[4, 3, 1, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J Q Q K K K K A A 2 2,22,pass
tree-v4,302,308,"[4, 3, 1, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J Q Q K K K K A A 2 2,17,pass
tree-v4,302,308,"[4, 3, 1, 0, 0, 2, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 2]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J Q Q K K K K A A 2 2,12,pass
tree-v4,302,308,"[4, 3, 1, 0, 0, 2, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 2]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J Q Q K K K K A A 2 2,11,pass
tree-v4,302,308,"[4, 3, 1, 0, 0, 2, 1, 0]","[2, 0, 0, 1, 0, 0, 0, 2]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J Q Q K K K K A A 2 2,10,pass
tree-v4,302,308,"[4, 3, 1, 0, 0, 2, 1, 0]","[2, 1, 0, 1, 0, 0, 0, 2]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J Q Q K K K K A A 2 2,8,best
tree-v4,302,308,"[4, 2, 1, 0, 0, 2, 1, 0]","[2, 1, 0, 1, 0, 1, 0, 2]",3 3 3 4 5 7 7 7 8 8 8 9 9 9 9 10 J K K K K A A 2 2,4,best
AI-origin,308,316,"[4, 3, 0, 0, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 4 4 4 5 8 9 10 10 J J Q Q Q Q K K K K A A,22,pass
AI-origin,308,316,"[4, 3, 0, 0, 0, 3, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1]",3 4 4 4 4 5 8 9 10 10 J J Q Q Q Q K K K K A A,19,pass
AI-origin,308,316,"[4, 3, 0, 0, 0, 3, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1]",3 4 4 4 4 5 8 9 10 10 J J Q Q Q Q K K K K A A,18,best
