winner,winner score,loser score,strategy,opponent,against,hand,length,target
tree-v6,508,464,"[2, 3, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3,3 3 4 4 6 8 9 10 10 10 J J J J J Q Q K K A A A,22,pass
tree-v6,508,464,"[2, 3, 0, 1, 0, 1, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 0]",2,3 3 4 4 6 8 9 10 10 10 J J J J J Q Q K K A A A,19,pass
tree-v6,508,464,"[2, 3, 0, 1, 0, 1, 0, 1]","[0, 0, 2, 1, 0, 0, 0, 0]",2,3 3 4 4 6 8 9 10 10 10 J J J J J Q Q K K A A A,16,pass
tree-v6,508,464,"[2, 3, 0, 1, 0, 1, 0, 1]","[1, 0, 2, 1, 0, 0, 0, 0]",0,3 3 4 4 6 8 9 10 10 10 J J J J J Q Q K K A A A,15,best
tree-v6,508,464,"[1, 3, 0, 1, 0, 1, 0, 1]","[2, 0, 2, 1, 0, 0, 0, 0]",0,3 3 4 4 8 9 10 10 10 J J J J J Q Q K K A A A,14,best
tree-v6,508,464,"[0, 3, 0, 0, 0, 1, 0, 0]","[2, 0, 2, 1, 0, 1, 0, 0]",5,4 4 10 10 J J J J K K,10,best
tree-v6,508,464,"[0, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 2, 1, 0, 2, 0, 0]",5,4 4 10 10 K K,6,best
AI-origin,444,504,"[3, 2, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",5,4 6 6 6 6 8 8 8 J J K A A 2,22,pass
AI-origin,444,504,"[3, 2, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]",2,4 6 6 6 6 8 8 8 J J K A A 2,19,best
AI-origin,444,504,"[3, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 2, 0, 0]",5,4 6 6 6 6 J J K A A 2,15,pass
AI-origin,444,504,"[3, 2, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 2, 0, 0]",0,4 6 6 6 6 J J K A A 2,14,best
AI-origin,444,504,"[1, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 2, 0, 0]",0,6 6 6 6 J J K A A,13,best
AI-origin,444,504,"[0, 1, 0, 0, 0, 1, 0, 0]","[2, 1, 1, 0, 0, 2, 0, 0]",1,6 6 6 6 A A,11,best
AI-origin,434,480,"[2, 4, 4, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",5,3 3 3 4 4 5 5 5 7 8 8 J J Q Q Q K K K A 2 2,23,pass
AI-origin,434,480,"[2, 4, 4, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",7,3 3 3 4 4 5 5 5 7 8 8 J J Q Q Q K K K A 2 2,18,pass
AI-origin,434,480,"[2, 4, 4, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 1]",2,3 3 3 4 4 5 5 5 7 8 8 J J Q Q Q K K K A 2 2,15,pass
AI-origin,434,480,"[2, 4, 4, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",0,3 3 3 4 4 5 5 5 7 8 8 J J Q Q Q K K K A 2 2,14,best
AI-origin,434,480,"[1, 3, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 2, 0, 1]",5,7 8 8 J J 2 2,9,pass
AI-origin,434,480,"[1, 3, 0, 0, 0, 0, 0, 0]","[2, 0, 1, 0, 0, 2, 0, 1]",0,7 8 8 J J 2 2,8,pass
AI-origin,434,480,"[1, 3, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 0, 2, 0, 1]",0,7 8 8 J J 2 2,7,pass
AI-origin,434,480,"[2, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 0, 3, 0, 1]",5,7 8 8 J J 2,3,pass
AI-origin,434,480,"[2, 2, 0, 0, 0, 0, 0, 0]","[4, 0, 1, 0, 0, 3, 0, 1]",0,7 8 8 J J 2,2,pass
tree-v6,459,469,"[1, 6, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]",1,6 7 7 9 9 10 10 J J J J Q Q A A 2 2,25,best
tree-v6,459,469,"[1, 5, 0, 0, 0, 1, 0, 0]","[0, 2, 0, 0, 0, 0, 0, 0]",1,6 9 9 10 10 J J J J Q Q A A 2 2,23,best
tree-v6,459,469,"[1, 4, 0, 0, 0, 1, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0]",1,6 9 9 J J J J Q Q A A 2 2,21,best
tree-v6,459,469,"[1, 3, 0, 0, 0, 1, 0, 0]","[0, 4, 0, 0, 0, 0, 0, 0]",1,6 9 9 J J J J A A 2 2,19,best
tree-v6,459,469,"[0, 2, 0, 0, 0, 1, 0, 0]","[1, 4, 0, 0, 0, 0, 0, 0]",0,9 9 J J J J A A,18,pass
tree-v6,459,469,"[0, 2, 0, 0, 0, 1, 0, 0]","[1, 4, 1, 0, 0, 0, 0, 0]",2,9 9 J J J J A A,15,pass
tree-v6,459,469,"[0, 2, 0, 0, 0, 1, 0, 0]","[1, 4, 2, 0, 0, 0, 0, 0]",2,9 9 J J J J A A,12,pass
tree-v6,459,469,"[0, 2, 0, 0, 0, 1, 0, 0]","[2, 4, 2, 0, 0, 0, 0, 0]",0,9 9 J J J J A A,11,pass
tree-v6,459,469,"[0, 2, 0, 0, 0, 1, 0, 0]","[3, 4, 2, 0, 0, 0, 0, 0]",0,9 9 J J J J A A,10,pass
tree-v6,459,469,"[0, 2, 0, 0, 0, 1, 0, 0]","[3, 5, 2, 0, 0, 0, 0, 0]",1,9 9 J J J J A A,8,best
tree-v6,459,469,"[0, 1, 0, 0, 0, 1, 0, 0]","[3, 5, 2, 0, 0, 1, 0, 0]",5,J J J J A A,4,best
tree-v6,496,459,"[2, 3, 2, 1, 0, 2, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]",0,3 4 4 4 5 5 5 5 6 6 6 7 7 7 7 8 8 9 10 J Q Q Q K K 2 2,26,best
